number_of_cpus	wall_clock_time	processors_per_node	cores_per_processor	number_of_nodes	cpu_interconnects	processor	ram_per_cpu	ram_bus_speed	computer_system	operating_system	vendor	mpi_library	shared_or_dedicated	code_version	code_version_number	problem_name	precision	smp_mpp	location	submitted_by	submitted_by_org	date_submitted
48	183	2	6	4	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
256	184	2	2	64	RapidArray	AMD Dual Core Opteron 2.2 GHZ	2	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-09-08
48	188	2	6	4	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Hexa Core X5675 3.07GHz	4	1333	Rackable? C2112-4TY14	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
40	194	2	10	2	Mellanox Technologies Connect-IB FDR InfiniBand	Intel Xeon E5-2680 V2 @2.80GHz	4	1600	Dell PowerEdge R720xd	RHEL 6.2	Dell	Platform MPI 9.1	d	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Sunnyvale, CA	Pak Lui	HPC Advisory Council	2014-02-13
128	195	2	4	16	Voltaire ConnectX IB Gen2 HCA DDR Fabric OFED v1.3	Intel Xeon E5462 2.80GHz	2	800	Bull Novascale R422-E1	Linux Bull Advanced Server 5v1.1	BULL	hpmpi	s	LS-DYNA	mpp971.R3.2	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2008-12-12
48	197	2	6	4	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
128	205	64	2	1	NUMAlink	Intel Itanium DC Montvale 1.669Ghz	2	666	Altix 4700	SUSE Linux Enterprise Server 10, SGI ProPack 5SP3	SGI	SGI MPT 1.15	s	LS-DYNA	971R2.7600.1224	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-03-08
128	208	2	2	32	QLogic InfiniPath IB	Intel Dualcore Xeon 5160 3.0 GHz	2	0	Cambridge Cluster	ClusterVisionOS	ClusterVision/Dell	QLogic MPI 2.0	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Cambridge, UK	Kevin Ball	QLogic	2007-02-26
32	213	2	8	2	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
32	213	2	8	2	ib fdr	Intel® Xeon® E5-2650v2 @ 2.6GHz	4	1866	IBM	RHEL	IBM	Intel MPI 4.0.3.008 	d	LS-DYNA	  ls971.R3.2.1	neon_refined	s	m	India	VIVEK KAPSE	LEON	2014-02-28
